scene,listener,system,mbstoi
S09637,L0240,E013,0.595052413981244
S08636,L0218,E013,0.718115250354094
S08575,L0236,E013,0.604048966691399
S08614,L0239,E013,0.721211158964894
S09262,L0209,E013,0.715707947886812
S09436,L0216,E013,0.781476604980719
S09436,L0202,E013,0.778170051548478
S09142,L0218,E013,0.572557592996126
S08759,L0229,E013,0.732614054146054
S09704,L0200,E013,0.725548554206139
S09040,L0235,E013,0.805013687616959
S09380,L0201,E013,0.757090105412304
S09455,L0215,E013,0.76107239285418
S09281,L0224,E013,0.59838071567736
S09581,L0201,E013,0.75443928533235
S09248,L0225,E013,0.705052311228174
S09248,L0231,E013,0.694462367283439
S09532,L0201,E013,0.745923440128613
S09564,L0217,E013,0.6099638264652
S08540,L0222,E013,0.71594461383939
S09894,L0236,E013,0.598192084609001
S08606,L0217,E013,0.664137475796672
S08751,L0224,E013,0.558831963271104
S08798,L0224,E013,0.496047612501793
S08653,L0235,E013,0.78126286913446
S09450,L0227,E013,0.599910102174038
S08998,L0217,E013,0.68250291884884
S08660,L0227,E013,0.644727037839853
S09463,L0209,E013,0.639478099951136
S09856,L0224,E013,0.633873000965137
S09811,L0229,E013,0.764360587160287
S08752,L0206,E013,0.579884134447371
S09509,L0235,E013,0.792734899934262
S09793,L0231,E013,0.524250103996756
S08579,L0241,E013,0.786859705925868
S08800,L0221,E013,0.704282015405181
S09569,L0202,E013,0.708384448739468
S09951,L0206,E013,0.527422553174306
S08781,L0231,E013,0.64498050053804
S08781,L0225,E013,0.644085509329485
S08625,L0243,E013,0.693586691174558
S09034,L0229,E013,0.73077768013944
S09904,L0231,E013,0.660590220950114
S08905,L0241,E013,0.773187331034449
S09961,L0235,E013,0.808571780135708
S09214,L0243,E013,0.766044223850606
S08555,L0242,E013,0.652444093540979
S09018,L0216,E013,0.822999774348846
S09770,L0221,E013,0.593808375120382
S08969,L0216,E013,0.77161483740974
S09282,L0206,E013,0.584254482930938
S09282,L0212,E013,0.770326822116521
S08969,L0202,E013,0.820408224151628
S09181,L0241,E013,0.735681698722519
S08862,L0240,E013,0.67654217046325
S08739,L0220,E013,0.792746727520254
S09830,L0201,E013,0.730346063655996
S09460,L0216,E013,0.76348363782999
S09460,L0202,E013,0.765842397502247
